experiment,scenario,run,psc,min_ttc,min_distance,detection_latency,vlm_latency,continue_count,slow_down_count,yield_count,scenario_duration
notrack,intersection,2,61.93,10.651,0.278,N/A,N/A,0,0,0,34.64
notrack,doorway,2,49.06,0.000,-0.206,N/A,N/A,0,0,0,95.53
notrack,frontal_approach,3,72.90,0.773,0.042,N/A,N/A,0,0,0,52.73
notrack,intersection,3,63.05,63.969,0.287,N/A,N/A,0,0,0,59.78
notrack,doorway,3,49.01,0.000,-0.134,N/A,N/A,0,0,0,47.14
notrack,frontal_approach,1,73.24,14.434,0.085,N/A,N/A,0,0,0,51.31
notrack,intersection,1,92.26,10.259,0.208,N/A,N/A,0,0,0,254.68
notrack,doorway,1,46.18,0.000,-0.220,N/A,N/A,0,0,0,236.42
notrack,frontal_approach,2,100.00,22.993,4.948,N/A,N/A,0,0,0,2.21
novlm,frontal_approach,1,77.56,17.531,0.548,0.687,0.805,6,0,0,57.79
novlm,intersection,1,46.60,2.562,0.345,0.379,0.513,5,0,0,44.23
novlm,doorway,1,68.31,0.000,-0.124,0.497,0.935,5,0,0,288.86
novlm,frontal_approach,2,70.93,0.000,-0.005,0.517,0.939,6,0,0,56.81
novlm,intersection,2,87.94,8.859,0.808,0.185,0.855,10,0,0,186.65
novlm,doorway,2,92.25,0.000,-0.038,0.417,0.657,6,0,0,236.47
novlm,frontal_approach,3,75.77,16.324,0.332,0.246,0.379,6,0,0,55.22
novlm,intersection,3,69.38,10.723,0.614,0.170,0.753,5,0,0,151.65
novlm,doorway,3,56.84,0.000,-0.170,0.233,0.603,8,0,0,64.67
novlm,frontal_approach,1,73.81,16.211,0.312,0.545,0.703,6,0,0,62.86
novlm,intersection,1,71.85,116.750,1.025,0.337,0.963,4,0,0,97.54
novlm,doorway,1,90.28,0.000,-0.055,0.354,0.568,6,0,0,167.47
novlm,frontal_approach,2,78.02,8.855,0.588,0.284,0.965,6,0,0,59.16
novlm,intersection,2,91.59,10.395,0.878,0.398,0.761,9,0,0,213.37
novlm,doorway,2,67.11,0.000,-0.085,0.423,0.626,7,0,0,257.68
novlm,frontal_approach,3,100.00,267.927,2.035,0.592,0.726,2,0,0,21.84
novlm,intersection,3,100.00,inf,2.417,N/A,N/A,0,0,0,29.90
novlm,doorway,3,100.00,21.285,4.451,3.349,0.932,3,0,0,32.09
novlm,frontal_approach,4,100.00,inf,2.528,0.248,0.473,2,0,0,14.95
novlm,intersection,4,100.00,inf,2.573,N/A,N/A,0,0,0,28.85
novlm,doorway,4,100.00,17.297,4.165,N/A,N/A,0,0,0,31.60
novlm,frontal_approach,5,100.00,inf,1.954,0.378,0.617,3,0,0,26.32
novlm,intersection,5,100.00,inf,2.902,N/A,N/A,0,0,0,27.59
novlm,doorway,5,100.00,21.711,4.828,N/A,N/A,0,0,0,33.07
novlm,frontal_approach,6,100.00,inf,1.964,0.267,0.619,2,0,0,20.25
novlm,intersection,6,100.00,inf,2.378,N/A,N/A,0,0,0,28.05
novlm,doorway,6,100.00,18.862,4.160,3.031,0.577,3,0,0,85.20
novlm,frontal_approach,7,100.00,292.488,2.183,0.391,0.647,2,0,0,22.36
novlm,intersection,7,100.00,inf,2.425,N/A,N/A,0,0,0,31.33
novlm,doorway,7,100.00,20.399,4.371,2.766,0.614,3,0,0,97.52
novlm,frontal_approach,8,100.00,inf,2.166,0.858,0.689,2,0,0,19.59
novlm,intersection,8,100.00,inf,2.443,N/A,N/A,0,0,0,27.54
novlm,doorway,8,100.00,20.342,4.330,3.254,0.565,3,0,0,32.77
novlm,frontal_approach,9,100.00,inf,2.745,0.862,0.657,2,0,0,19.27
novlm,intersection,9,100.00,inf,2.689,N/A,N/A,0,0,0,25.08
novlm,doorway,9,100.00,19.122,4.220,4.872,0.717,3,0,0,64.27
novlm,frontal_approach,10,100.00,inf,1.875,0.211,0.587,3,0,0,23.80
novlm,intersection,10,100.00,inf,2.828,N/A,N/A,0,0,0,28.31
novlm,doorway,10,100.00,22.656,4.903,N/A,N/A,0,0,0,33.17
novlm,frontal_approach,11,100.00,inf,1.940,0.553,0.696,2,0,0,23.33
novlm,intersection,11,100.00,inf,2.310,N/A,N/A,0,0,0,29.19
novlm,doorway,11,100.00,21.014,4.427,3.083,0.762,3,0,0,110.43
novlm,frontal_approach,12,100.00,306.667,2.214,0.332,0.714,2,0,0,24.04
novlm,intersection,12,100.00,inf,2.617,N/A,N/A,0,0,0,26.22
novlm,doorway,12,100.00,18.287,4.132,3.021,0.687,3,0,0,33.46
novlm,frontal_approach,13,100.00,inf,2.224,0.402,0.535,2,0,0,21.50
novlm,intersection,13,100.00,inf,3.617,N/A,N/A,0,0,0,20.42
novlm,doorway,13,100.00,18.410,4.333,N/A,N/A,0,0,0,36.91
novlm,frontal_approach,14,100.00,inf,2.589,0.289,0.453,2,0,0,18.15
novlm,intersection,14,100.00,inf,2.640,N/A,N/A,0,0,0,25.86
novlm,doorway,14,100.00,19.005,4.222,4.169,0.574,3,0,0,33.24
